Number of iterations : 30 
Difference 6.878535288093457e-07 
 
Ids and Ranking Score in descending order 
597621 has rank = 0.01501798798117511
644135 has rank = 0.01434078221453075
430119 has rank = 0.01430284352457235
30957 has rank = 0.01430284352457235
565424 has rank = 0.014096303668148579
462435 has rank = 0.014096303668148576
581609 has rank = 0.014024577284292006
858904 has rank = 0.013940745185497299
423174 has rank = 0.013940745185497299
2 has rank = 0.013940745185497299
357310 has rank = 0.013940745185497299
472889 has rank = 0.013940745185497299
173976 has rank = 0.008094260703412261
795253 has rank = 0.008094260703412261
670449 has rank = 0.008094260703412261
746182 has rank = 0.008094260703412261
867923 has rank = 0.007695781557711853
891835 has rank = 0.00759529900281085
11342 has rank = 0.0073224996168846194
62391 has rank = 0.0073168458335928915
4 has rank = 0.007217812092214631
44695 has rank = 0.007217812092214631
79146 has rank = 0.007217812092214631
53051 has rank = 0.007208126773136567
223236 has rank = 0.007208126773136567
748615 has rank = 0.007037222791067778
203402 has rank = 0.007009523604346743
862566 has rank = 0.006988130085267049
569212 has rank = 0.006971109064928982
276233 has rank = 0.006951233366127507
635575 has rank = 0.006927719095463062
893884 has rank = 0.006914270285982318
552600 has rank = 0.006864882641082445
0 has rank = 0.006796618076742063
240041 has rank = 0.006408015573153154
824020 has rank = 0.006131781341307731
494042 has rank = 0.0061177889132055215
528391 has rank = 0.0061177889132055215
531596 has rank = 0.0061177889132055215
488515 has rank = 0.0061177889132055215
779195 has rank = 0.0061177889132055215
912247 has rank = 0.0061177889132055215
1 has rank = 0.006114159085998904
436135 has rank = 0.006114159085998904
619841 has rank = 0.005972394696155742
774614 has rank = 0.005915555917209079
857527 has rank = 0.005878218275576887
208814 has rank = 0.005866168272309205
184896 has rank = 0.005807878034089969
184984 has rank = 0.005807878034089969
284930 has rank = 0.005807878034089969
449352 has rank = 0.005807878034089969
539143 has rank = 0.005807878034089969
604413 has rank = 0.005807878034089969
648208 has rank = 0.005807878034089969
417728 has rank = 0.005806919882521825
164684 has rank = 0.005770914953944781
500627 has rank = 0.005706437327620823
363925 has rank = 0.005695559229339561
908276 has rank = 0.005680910696883102
835220 has rank = 0.0056771981942202385
838771 has rank = 0.005657144689921799
433724 has rank = 0.005609184313026532
723893 has rank = 0.005609184313026532
828769 has rank = 0.005609184313026532
385050 has rank = 0.005609184313026532
322178 has rank = 0.005605899801165176
387543 has rank = 0.005605899801165176
789543 has rank = 0.00558788134622045
303045 has rank = 0.005533897245737195
573555 has rank = 0.00551402154693572
103137 has rank = 0.005464914869819371
824625 has rank = 0.005400251282912738
10245 has rank = 0.00536470576664436
396205 has rank = 0.00536470576664436
738649 has rank = 0.00536470576664436
863279 has rank = 0.00536470576664436
907005 has rank = 0.00536470576664436
136144 has rank = 0.00536470576664436
747569 has rank = 0.00536470576664436
792266 has rank = 0.0053352940769473695
112028 has rank = 0.005333100415238945
235849 has rank = 0.005333100415238945
302284 has rank = 0.005333100415238945
693969 has rank = 0.005333100415238945
451592 has rank = 0.005333100415238945
384341 has rank = 0.0053139005578676755
408707 has rank = 0.0053139005578676755
773119 has rank = 0.0053139005578676755
792151 has rank = 0.0052770038387281335
137136 has rank = 0.005267742339034814
163524 has rank = 0.005267742339034814
206688 has rank = 0.005267742339034814
397349 has rank = 0.005267742339034814
564202 has rank = 0.005267742339034814
564998 has rank = 0.005267742339034814
660384 has rank = 0.005267742339034814
729403 has rank = 0.005267742339034814
857417 has rank = 0.005267742339034814
2937 has rank = 0.005267742339034814
