Number of iterations : 13 
Difference 5.66330252631253e-07 
 
Ids and Ranking Score in descending order 
597621 has rank = 0.026738411470414385
644135 has rank = 0.02601575271919468
430119 has rank = 0.02597445792923722
30957 has rank = 0.02597445792923722
462435 has rank = 0.025748101295224184
565424 has rank = 0.025748101295224184
581609 has rank = 0.02566887647034821
858904 has rank = 0.025575873413135632
423174 has rank = 0.025575873413135632
2 has rank = 0.025575873413135632
357310 has rank = 0.025575873413135632
472889 has rank = 0.025575873413135632
173976 has rank = 0.021081349201807383
795253 has rank = 0.021081349201807383
670449 has rank = 0.021081349201807383
746182 has rank = 0.021081349201807383
867923 has rank = 0.02055136715042603
891835 has rank = 0.020388261061979163
11342 has rank = 0.019879350473566336
62391 has rank = 0.01984126983777966
53051 has rank = 0.019806357353827617
223236 has rank = 0.019806357353827617
4 has rank = 0.019675925922547497
44695 has rank = 0.019675925922547497
79146 has rank = 0.019675925922547497
748615 has rank = 0.019527394574231468
203402 has rank = 0.019481662971018488
862566 has rank = 0.019446241765620712
569212 has rank = 0.019417997405760994
276233 has rank = 0.019384945495286795
635575 has rank = 0.019345744392166152
893884 has rank = 0.01932327546720672
552600 has rank = 0.019240461429498857
0 has rank = 0.019029043658149176
240041 has rank = 0.0184475223681693
824020 has rank = 0.01800363045655773
1 has rank = 0.0179644404815484
436135 has rank = 0.0179644404815484
619841 has rank = 0.017734468037293546
774614 has rank = 0.01763974609873927
208814 has rank = 0.01755693206103141
857527 has rank = 0.017500720017008607
417728 has rank = 0.01746275989149697
184896 has rank = 0.017460214585299713
184984 has rank = 0.017460214585299713
284930 has rank = 0.017460214585299713
449352 has rank = 0.017460214585299713
539143 has rank = 0.017460214585299713
604413 has rank = 0.017460214585299713
648208 has rank = 0.017460214585299713
164684 has rank = 0.017398544557219637
500627 has rank = 0.017299653803050104
363925 has rank = 0.017279630510532364
838771 has rank = 0.017215964945274866
835220 has rank = 0.017191283766652205
322178 has rank = 0.017153323641140566
387543 has rank = 0.017153323641140566
494042 has rank = 0.01715290708235433
528391 has rank = 0.01715290708235433
531596 has rank = 0.01715290708235433
488515 has rank = 0.01715290708235433
779195 has rank = 0.01715290708235433
912247 has rank = 0.01715290708235433
789543 has rank = 0.01710009899709281
303045 has rank = 0.017010184609153014
573555 has rank = 0.01697713269867881
103137 has rank = 0.016865079364027723
824625 has rank = 0.016794553086734044
908276 has rank = 0.01669453500006618
792266 has rank = 0.016685490226343882
384341 has rank = 0.016650069020946106
408707 has rank = 0.016650069020946106
773119 has rank = 0.016650069020946106
112028 has rank = 0.01664441305272774
235849 has rank = 0.01664441305272774
302284 has rank = 0.01664441305272774
693969 has rank = 0.01664441305272774
451592 has rank = 0.01664441305272774
433724 has rank = 0.0166153101751902
723893 has rank = 0.0166153101751902
828769 has rank = 0.0166153101751902
385050 has rank = 0.0166153101751902
792151 has rank = 0.01658877275061219
136593 has rank = 0.01648130696428087
523684 has rank = 0.01648130696428087
815602 has rank = 0.01648130696428087
414038 has rank = 0.01648130696428087
760842 has rank = 0.01648130696428087
846213 has rank = 0.01648130696428087
438493 has rank = 0.016443346838769232
91807 has rank = 0.016443346838769232
535748 has rank = 0.016443346838769232
695578 has rank = 0.016443346838769232
10245 has rank = 0.016347658751219706
396205 has rank = 0.016347658751219706
738649 has rank = 0.016347658751219706
863279 has rank = 0.016347658751219706
907005 has rank = 0.016347658751219706
136144 has rank = 0.016347658751219706
747569 has rank = 0.016347658751219706
309564 has rank = 0.016334976802371334
427436 has rank = 0.016334976802371334
638706 has rank = 0.016334976802371334
856657 has rank = 0.016334976802371334
27469 has rank = 0.016334976802371334
38716 has rank = 0.016334976802371334
538214 has rank = 0.016334976802371334
645018 has rank = 0.016334976802371334
72960 has rank = 0.016245039681895675
75753 has rank = 0.016245039681895675
91681 has rank = 0.016245039681895675
109681 has rank = 0.016245039681895675
139972 has rank = 0.016245039681895675
302178 has rank = 0.016245039681895675
412196 has rank = 0.016245039681895675
412198 has rank = 0.016245039681895675
525525 has rank = 0.016245039681895675
550473 has rank = 0.016245039681895675
609886 has rank = 0.016245039681895675
33210 has rank = 0.016245039681895675
124446 has rank = 0.016245039681895675
268108 has rank = 0.016245039681895675
438091 has rank = 0.016245039681895675
464936 has rank = 0.016245039681895675
600077 has rank = 0.016245039681895675
137136 has rank = 0.01623269025285477
163524 has rank = 0.01623269025285477
206688 has rank = 0.01623269025285477
397349 has rank = 0.01623269025285477
564202 has rank = 0.01623269025285477
564998 has rank = 0.01623269025285477
660384 has rank = 0.01623269025285477
729403 has rank = 0.01623269025285477
857417 has rank = 0.01623269025285477
2937 has rank = 0.01623269025285477
89958 has rank = 0.01623269025285477
107219 has rank = 0.01623269025285477
178815 has rank = 0.01623269025285477
190733 has rank = 0.01623269025285477
518625 has rank = 0.01623269025285477
654863 has rank = 0.01623269025285477
718679 has rank = 0.01623269025285477
727948 has rank = 0.01623269025285477
769429 has rank = 0.01623269025285477
783319 has rank = 0.01623269025285477
888289 has rank = 0.01623269025285477
895278 has rank = 0.01623269025285477
532018 has rank = 0.01622865716240528
33023 has rank = 0.01608561296166147
426314 has rank = 0.01608561296166147
435399 has rank = 0.01608561296166147
505620 has rank = 0.01608561296166147
69209 has rank = 0.01608561296166147
